id;date;journal_id/id;name;period_id/id;line_id/account_id/id;line_id/date;line_id/name;line_id/credit;line_id/debit;line_id/journal_id/id;line_id/period_id/id
1;2015-09-01;__export__.account_journal_5;1;__export__.account_period_18;__export__.account_account_1956;2015-09-01;50_12427907 - S. Varone - Comité  -  Guest Editor (2015);1599.60;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_134;2015-09-01;50_12427907 - S. Varone - Comité  -  Guest Editor (2015);;1599.60;__export__.account_journal_5;__export__.account_period_18
2;2015-09-01;__export__.account_journal_5;2;__export__.account_period_18;45566;2015-09-01;50_12427907 - S. Varone - Comité  -  Guest Editor (2015);1599.60;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_117;2015-09-01;50_12427907 - S. Varone - Comité  -  Guest Editor (2015);;1599.60;__export__.account_journal_5;__export__.account_period_18
3;2016-01-01;__export__.account_journal_5;3;__export__.account_period_19;__export__.account_account_1956;2016-01-01;50_12427907 - S. Varone - Comité  -  Guest Editor (2016);3200.40;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_134;2016-01-01;50_12427907 - S. Varone - Comité  -  Guest Editor (2016);;3200.40;__export__.account_journal_5;__export__.account_period_19
4;2016-01-01;__export__.account_journal_5;4;__export__.account_period_19;45566;2016-01-01;50_12427907 - S. Varone - Comité  -  Guest Editor (2016);3200.40;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_117;2016-01-01;50_12427907 - S. Varone - Comité  -  Guest Editor (2016);;3200.40;__export__.account_journal_5;__export__.account_period_19
5;2015-09-01;__export__.account_journal_5;5;__export__.account_period_18;__export__.account_account_1956;2015-09-01;50_12427907 - S. Varone - Publication (2015);1599.60;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_134;2015-09-01;50_12427907 - S. Varone - Publication (2015);;1599.60;__export__.account_journal_5;__export__.account_period_18
6;2015-09-01;__export__.account_journal_5;6;__export__.account_period_18;45566;2015-09-01;50_12427907 - S. Varone - Publication (2015);1599.60;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_117;2015-09-01;50_12427907 - S. Varone - Publication (2015);;1599.60;__export__.account_journal_5;__export__.account_period_18
7;2016-01-01;__export__.account_journal_5;7;__export__.account_period_19;__export__.account_account_1956;2016-01-01;50_12427907 - S. Varone - Publication (2016);3200.40;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_134;2016-01-01;50_12427907 - S. Varone - Publication (2016);;3200.40;__export__.account_journal_5;__export__.account_period_19
8;2016-01-01;__export__.account_journal_5;8;__export__.account_period_19;45566;2016-01-01;50_12427907 - S. Varone - Publication (2016);3200.40;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_117;2016-01-01;50_12427907 - S. Varone - Publication (2016);;3200.40;__export__.account_journal_5;__export__.account_period_19
9;2015-09-01;__export__.account_journal_5;9;__export__.account_period_18;__export__.account_account_209;2015-09-01;50_40020033 - V. Pignon - Dépôt CTI (2015);2400.00;;__export__.account_journal_5;__export__.account_period_18
